"query","search interest","increase percent"
"journal of occupational health psychology",2,"Breakout"
"linkedin",2,"Breakout"
"occupational health and safety certification",1,"Breakout"
"sinta jurnal",1,"Breakout"
"scimago",1,"Breakout"
"national institute for occupational safety and health",1,"Breakout"
"canadian centre for occupational health and safety",0,"Breakout"
"sciencedirect",0,"Breakout"
"occupational health manager software",0,"Breakout"
"occupational health emr",0,"Breakout"
"occupational health and safety consultants",0,"Breakout"
"iso 45001",2,"450%"
"what is occupational health and safety",4,"350%"
"iso",5,"300%"
"pubmed",1,"200%"
"occupational health psychology",3,"180%"
"iso occupational health and safety",4,"180%"
"occupational health physician",1,"170%"
"occupational health card",2,"160%"
"niosh",1,"140%"
"what is occupational health",8,"140%"
"scopus",1,"130%"
"occupational health and safety system",6,"100%"
"industrial hygiene",2,"100%"
"occupational health and safety management system",4,"90%"
"occupational health & safety",4,"90%"
"occupational health service",3,"80%"
"occupational health software",3,"70%"
"occupational health and safety certificate",2,"60%"
"international journal of occupational medicine and environmental health",1,"60%"
"occupational disease",3,"60%"
"certificate in occupational health and safety",1,"50%"
"occupational health management software",0,"50%"
"ohs",3,"50%"
"osha",3,"40%"
"occupational therapy",5,"40%"
"journal of occupational health",12,"40%"
"occupational health and safety",98,"30%"
"occupational health adalah",20,"30%"
"safety",100,"30%"
"occupational health safety",98,"30%"
"occupational health journal",17,"30%"
"occupational health and safety adalah",10,"20%"
"occupational safety and health",88,"20%"
"k3",13,"20%"
"who occupational health",5,"8%"
"occupational health doctor",2,"7%"
"keselamatan dan kesehatan kerja",4,"6%"
"occupational safety and health administration",2,"0%"
"occupational health and safety pdf",8,"-5%"
