"query","search interest","increase percent"
"safety",100,"30%"
"occupational health and safety",98,"30%"
"occupational health safety",98,"30%"
"occupational safety and health",88,"20%"
"occupational health adalah",20,"30%"
"occupational health journal",17,"30%"
"k3",13,"20%"
"journal of occupational health",12,"40%"
"occupational health and safety adalah",10,"20%"
"what is occupational health",8,"140%"
"kesehatan kerja",8,"-10%"
"occupational health and safety pdf",8,"-5%"
"occupational health and safety system",6,"100%"
"occupational therapy",5,"40%"
"iso",5,"300%"
"who occupational health",5,"8%"
"occupational health & safety",4,"90%"
"kesehatan dan keselamatan kerja",4,"-5%"
"keselamatan dan kesehatan kerja",4,"6%"
"occupational health and safety management system",4,"90%"
"what is occupational health and safety",4,"350%"
"occupational health services",4,"-20%"
"iso occupational health and safety",4,"180%"
"occupational health service",3,"80%"
"occupational health psychology",3,"180%"
"occupational health nursing",3,"-40%"
"occupational disease",3,"60%"
"osha",3,"40%"
"occupational health hazard",3,"-7%"
"ilo",3,"-9%"
"occupational health software",3,"70%"
"ohs",3,"50%"
"industrial hygiene",2,"100%"
"occupational health nurse",2,"-30%"
"iso 45001",2,"450%"
"occupational health and safety certificate",2,"60%"
"occupational safety and health administration",2,"0%"
"occupational health doctor",2,"7%"
"occupation",2,"-30%"
"occupational health card",2,"160%"
"journal of occupational health psychology",2,"Breakout"
"linkedin",2,"Breakout"
"occupational health physician",1,"170%"
"occupational health and safety certification",1,"Breakout"
"certificate in occupational health and safety",1,"50%"
"scopus",1,"130%"
"pubmed",1,"200%"
"niosh",1,"140%"
"sinta jurnal",1,"Breakout"
"scimago",1,"Breakout"
