"query","search interest","increase percent"
"qris api",20,"Breakout"
"openai api",17,"Breakout"
"duitku",6,"Breakout"
"gemini api",5,"Breakout"
"crypto payment gateway",3,"Breakout"
"deepseek",2,"Breakout"
"deepseek api",2,"Breakout"
"api design principles",1,"Breakout"
"international payment api integrations",1,"Breakout"
"what is a contactless payment",1,"Breakout"
"qris",21,"600%"
"international payment api",12,"550%"
"what is api",27,"400%"
"whatsapp api",9,"350%"
"open api",18,"200%"
"xendit payment gateway",12,"200%"
"xendit",25,"190%"
"shopify",4,"190%"
"xendit api",25,"190%"
"flip",5,"190%"
"ipaymu",3,"180%"
"apa itu api",8,"90%"
"google payment",30,"80%"
"payment request api",9,"80%"
"stripe api",16,"70%"
"mobile payment api",11,"60%"
"payment processing api",5,"60%"
"credit card payment api",11,"60%"
"stripe",16,"60%"
"stripe payment",17,"50%"
"midtrans payment",32,"30%"
"dana api",11,"30%"
"midtrans api",32,"30%"
"midtrans",32,"30%"
"payment gateway api integration",6,"20%"
"tripay",3,"10%"
"midtrans payment gateway",16,"10%"
"api adalah",16,"10%"
"gopay api",9,"2%"
"payment gateway indonesia",25,"1%"
"api payment gateway",99,"-4%"
"mandiri api",5,"-5%"
"api gateway",99,"-5%"
"payment gateway api",100,"-6%"
"payment gateway",100,"-7%"
"payment api for developers",2,"-7%"
"paypal api payment",10,"-40%"
"woocommerce",4,"-40%"
"bri api",4,"-40%"
"api bca",11,"-40%"
