"query","search interest","increase percent"
"payment gateway api",100,"-6%"
"payment gateway",100,"-7%"
"api payment gateway",99,"-4%"
"api gateway",99,"-5%"
"smart payment api tegalrejo",37,"-70%"
"midtrans api",32,"30%"
"midtrans",32,"30%"
"midtrans payment",32,"30%"
"google payment",30,"80%"
"what is api",27,"400%"
"api tegalrejo smart payment co id",27,"-80%"
"payment gateway indonesia",25,"1%"
"xendit api",25,"190%"
"xendit",25,"190%"
"qris",21,"600%"
"qris api",20,"Breakout"
"open api",18,"200%"
"openai api",17,"Breakout"
"stripe payment",17,"50%"
"stripe api",16,"70%"
"stripe",16,"60%"
"api adalah",16,"10%"
"midtrans payment gateway",16,"10%"
"international payment api",12,"550%"
"xendit payment gateway",12,"200%"
"dana api",11,"30%"
"mobile payment api",11,"60%"
"credit card payment api",11,"60%"
"api bca",11,"-40%"
"paypal api payment",10,"-40%"
"paypal api",10,"-40%"
"bca api",10,"-40%"
"gopay api",9,"2%"
"whatsapp api",9,"350%"
"payment request api",9,"80%"
"doku payment",8,"-50%"
"apa itu api",8,"90%"
"doku",7,"-50%"
"ovo api",7,"-80%"
"payment gateway api integration",6,"20%"
"duitku",6,"Breakout"
"doku payment gateway",6,"-40%"
"mandiri api",5,"-5%"
"gemini api",5,"Breakout"
"payment processing api",5,"60%"
"flip",5,"190%"
"api tegalrejo.smart payment",4,"-80%"
"shopify",4,"190%"
"woocommerce",4,"-40%"
"bri api",4,"-40%"
