"query","search interest","increase percent"
"bank bsi",20,"2,250%"
"bsi bank",21,"1,600%"
"bsi",21,"1,450%"
"ok bank",4,"500%"
"bank raya",4,"300%"
"tabungan payroll mandiri",17,"250%"
"my bank",4,"140%"
"payroll artinya",11,"110%"
"payroll adalah",69,"60%"
"rekening payroll",49,"50%"
"bank ocbc",8,"20%"
"apa itu payroll",26,"10%"
"payroll gaji",43,"10%"
"payroll itu apa",26,"9%"
"maybank",10,"-8%"
"maybank payroll",10,"-10%"
"bank bca",57,"-10%"
"bca payroll",56,"-10%"
"payroll bca",57,"-10%"
"bri",46,"-10%"
"bca",56,"-10%"
"bank bri",46,"-10%"
"payroll bri",45,"-20%"
"pinjaman bri",20,"-20%"
"pinjaman bank bca",17,"-20%"
"arti payroll",13,"-20%"
"pinjaman bank bri",19,"-20%"
"mandiri payroll",100,"-30%"
"mandiri",100,"-30%"
"payroll mandiri",100,"-30%"
"bank mandiri",100,"-30%"
"permata bank",50,"-40%"
"bank permata",49,"-40%"
"bank bni",34,"-40%"
"bni",33,"-40%"
"pinjaman bank bni",14,"-40%"
"pinjaman mandiri payroll",27,"-50%"
"pinjaman payroll mandiri",26,"-50%"
"bank btn",13,"-50%"
"pinjaman bank mandiri",26,"-50%"
"kta bank",73,"-60%"
"kta",72,"-60%"
"kta permata",16,"-70%"
"kta permata payroll",16,"-70%"
"kta permata bank",15,"-70%"
"kta bank mandiri",22,"-70%"
"kta mandiri payroll",22,"-70%"
"kta payroll mandiri",22,"-70%"
"kta mandiri",22,"-70%"
