"query","search interest","increase percent"
"mandiri payroll",100,"-30%"
"mandiri",100,"-30%"
"payroll mandiri",100,"-30%"
"bank mandiri",100,"-30%"
"kta bank",73,"-60%"
"kta",72,"-60%"
"payroll adalah",69,"60%"
"payroll bca",57,"-10%"
"bank bca",57,"-10%"
"bca payroll",56,"-10%"
"bca",56,"-10%"
"permata bank",50,"-40%"
"rekening payroll",49,"50%"
"bank permata",49,"-40%"
"bri",46,"-10%"
"bank bri",46,"-10%"
"payroll bri",45,"-20%"
"payroll gaji",43,"10%"
"bank bni",34,"-40%"
"bni",33,"-40%"
"pinjaman mandiri payroll",27,"-50%"
"apa itu payroll",26,"10%"
"payroll itu apa",26,"9%"
"pinjaman payroll mandiri",26,"-50%"
"pinjaman bank mandiri",26,"-50%"
"kta bank mandiri",22,"-70%"
"kta payroll mandiri",22,"-70%"
"kta mandiri payroll",22,"-70%"
"kta mandiri",22,"-70%"
"bsi",21,"1,450%"
"bsi bank",21,"1,600%"
"bank bsi",20,"2,250%"
"pinjaman bri",20,"-20%"
"pinjaman bank bri",19,"-20%"
"pinjaman bank bca",17,"-20%"
"tabungan payroll mandiri",17,"250%"
"kta permata",16,"-70%"
"kta permata payroll",16,"-70%"
"kta permata bank",15,"-70%"
"pinjaman bank bni",14,"-40%"
"arti payroll",13,"-20%"
"bank btn",13,"-50%"
"payroll artinya",11,"110%"
"maybank payroll",10,"-10%"
"maybank",10,"-8%"
"bank ocbc",8,"20%"
"ok bank",4,"500%"
"my bank",4,"140%"
"bank raya",4,"300%"
