"query","search interest","increase percent"
"asuransi adalah",100,"60%"
"perusahaan asuransi adalah",98,"60%"
"dalam",91,"50%"
"pada",69,"50%"
"berikut",43,"90%"
"perusahaan asuransi di indonesia",42,"30%"
"contoh asuransi",36,"6%"
"perusahaan asuransi syariah",35,"100%"
"asuransi syariah",35,"110%"
"contoh perusahaan asuransi",34,"-6%"
"jenis jenis asuransi",23,"20%"
"jenis asuransi",23,"20%"
"fungsi perusahaan asuransi",17,"20%"
"asuransi jiwa",16,"20%"
"manfaat asuransi",16,"30%"
"pengertian perusahaan asuransi",15,"-20%"
"polis asuransi",15,"110%"
"pengertian asuransi",15,"-20%"
"asuransi kesehatan",14,"40%"
"ojk",14,"10%"
"premi asuransi adalah",13,"100%"
"premi adalah",12,"90%"
"pasar modal",12,"30%"
"dana pensiun",11,"20%"
"perusahaan dana pensiun",11,"20%"
"pegadaian",10,"10%"
"polis adalah",9,"150%"
"polis asuransi adalah",9,"140%"
"apa itu asuransi",8,"30%"
"perusahaan asuransi konvensional",8,"90%"
"asuransi jiwa adalah",7,"60%"
"pasar modal adalah",7,"20%"
"lembaga keuangan bukan bank",7,"-3%"
"hanafi adalah seorang karyawan perusahaan yang setiap bulan membayar sejumlah uang kepada perusahaan",6,"Breakout"
"pegadaian adalah",6,"20%"
"dana pensiun adalah",6,"20%"
"contoh perusahaan asuransi syariah",5,"100%"
"jiwasraya",5,"7%"
"perhatikan",4,"4%"
"fungsi pasar modal",4,"40%"
"salah satu larangan yang tidak boleh dilakukan dalam praktik asuransi syariah adalah",4,"Breakout"
"hanafi adalah seorang karyawan perusahaan yang setiap bulan membayar sejumlah uang kepada perusahaan asuransi, sebagai pertanggungan risiko jika sewaktu-waktu terjadi hal yang tidak terduga pada dirinya. yang dilakukan hanafi dalam praktik asuransi syariah disebut dengan",4,"Breakout"
"perusahaan asuransi terbaik",4,"-40%"
"lembaga keuangan non bank",4,"40%"
"fungsi bank umum",3,"30%"
"leasing adalah",3,"30%"
"prudential",3,"-30%"
"berikut ini yang bukan merupakan unsur-unsur dalam praktik asuransi adalah",3,"Breakout"
"allianz",3,"-1%"
"nama perusahaan asuransi syariah",3,"200%"
