"query","search interest","increase percent"
"stockbit sekuritas",9,"450%"
"stockbit",9,"450%"
"ajaib sekuritas",12,"300%"
"ajaib",12,"300%"
"ojk adalah",8,"200%"
"investor adalah",13,"170%"
"investasi adalah",24,"130%"
"pasar modal adalah",21,"110%"
"perusahaan efek adalah",20,"100%"
"sucor sekuritas",3,"100%"
"pasar uang",12,"100%"
"pt",42,"90%"
"obligasi adalah",19,"90%"
"emiten adalah",7,"80%"
"saham adalah",40,"80%"
"bursa efek adalah",9,"70%"
"ipo",11,"70%"
"pasar",46,"70%"
"emiten",11,"60%"
"pasar modal",31,"60%"
"sekuritas adalah",100,"60%"
"perusahaan sekuritas adalah",100,"60%"
"apa itu sekuritas",24,"60%"
"obligasi",26,"60%"
"contoh sekuritas",25,"60%"
"perusahaan efek",40,"50%"
"beli saham",20,"50%"
"ojk",26,"40%"
"cara beli saham",9,"40%"
"perusahaan pialang",6,"40%"
"perusahaan sekuritas di indonesia",52,"30%"
"trimegah sekuritas",5,"20%"
"bursa efek",18,"20%"
"bursa efek indonesia",10,"10%"
"bri sekuritas",9,"-10%"
"mirae",9,"-10%"
"saham",100,"-10%"
"mirae sekuritas",10,"-10%"
"bca sekuritas",15,"-10%"
"idx",8,"-20%"
"mandiri sekuritas",21,"-20%"
"sekuritas terbaik di indonesia",6,"-40%"
"bni sekuritas",11,"-60%"
"perusahaan sekuritas terbaik",30,"-60%"
"indopremier sekuritas",3,"-60%"
"sekuritas terbaik",30,"-60%"
"indopremier",3,"-60%"
