"query","search interest","increase percent"
"perusahaan sekuritas adalah",100,"60%"
"sekuritas adalah",100,"60%"
"saham",100,"-10%"
"perusahaan sekuritas di indonesia",52,"30%"
"pasar",46,"70%"
"pt",42,"90%"
"saham adalah",40,"80%"
"perusahaan efek",40,"50%"
"pasar modal",31,"60%"
"perusahaan sekuritas terbaik",30,"-60%"
"sekuritas terbaik",30,"-60%"
"ojk",26,"40%"
"obligasi",26,"60%"
"contoh sekuritas",25,"60%"
"apa itu sekuritas",24,"60%"
"investasi adalah",24,"130%"
"pasar modal adalah",21,"110%"
"mandiri sekuritas",21,"-20%"
"beli saham",20,"50%"
"perusahaan efek adalah",20,"100%"
"obligasi adalah",19,"90%"
"bursa efek",18,"20%"
"bca sekuritas",15,"-10%"
"investor adalah",13,"170%"
"ajaib sekuritas",12,"300%"
"ajaib",12,"300%"
"pasar uang",12,"100%"
"ipo",11,"70%"
"bni sekuritas",11,"-60%"
"emiten",11,"60%"
"bursa efek indonesia",10,"10%"
"mirae sekuritas",10,"-10%"
"bursa efek adalah",9,"70%"
"mirae",9,"-10%"
"stockbit sekuritas",9,"450%"
"cara beli saham",9,"40%"
"stockbit",9,"450%"
"bri sekuritas",9,"-10%"
"idx",8,"-20%"
"ojk adalah",8,"200%"
"emiten adalah",7,"80%"
"sekuritas terbaik di indonesia",6,"-40%"
"perusahaan pialang",6,"40%"
"trimegah sekuritas",5,"20%"
"indopremier sekuritas",3,"-60%"
"indopremier",3,"-60%"
"sucor sekuritas",3,"100%"
