"query","search interest","increase percent"
"sebuah perusahaan tambang minyak bertujuan membor sebuah sumur. perusahaan itu membayar rp250.000,00 setiap meter untuk 25 meter pertama, rp300.000,00 setiap meter untuk 50 meter berikutnya, dan rp350.000,00 setiap meter untuk selanjutnya. apabila seluruh pemboran telah menelan biaya sebesar rp36.300.000,00. berapa dalamnya sumur tersebut?",1,"Breakout"
"sebuah mesin menggerakkan sebuah roda besar dan sebuah roda kecil. roda yang besar membuat 12 perputaran apabila yang kecil membuat 32 perputaran. berapa perputaran akan dibuat oleh roda yang kecil, apabila yang besar membuat 72 perputaran?",1,"Breakout"
"pada sebuah kantor bekerja 12 juru ketik di mana setiap orang mengetik 12 halaman setiap hari. selain itu juga ada 15 juru ketik yang masing-masing mengetik 20 halaman sehari dan 20 juru ketik yang masing masing mengetik 18 halaman setiap hari. berapa halaman seluruhnya dapat diketik dalam 5 hari?",1,"Breakout"
"bagio untuk membuat sebuah radio membutuhkan waktu 90 hari. berapa jumlah radio yang paling banyak dapat dibuatnya dalam waktu 2 ¾ tahun?",1,"Breakout"
"dua lingkaran mempunyai garis tengah 26 mm dan 1,855 cm. berapakah beda kedua garis tengah itu?",1,"Breakout"
"berapa meter persegi permadani dibutuhkan untuk menutupi lantai yang panjangnya 27 meter dan lebarnya 15 meter?",1,"Breakout"
"pusat keunggulan ekonomi perikanan tambak bandeng biasanya berada",1,"Breakout"
"dalam sebuah rapat ketua memberikan kesempatan 0,25 jam kepada setiap pembicara untuk mengemukakan pendapatnya. rapat berlangsung selama 3 ½ jam. berapa orang mendapat kesempatan untuk berbicara?",1,"Breakout"
"jelaskan 4 upaya pemerintah untuk meningkatkan produksi batik",1,"Breakout"
"jelaskan empat peranan perusahaan tambang minyak negara bagi perekonomian indonesia",1,"Breakout"
"sebutkan 4 peranan pt freeport bagi perekonomian indonesia",0,"Breakout"
"sarah biasanya memerlukan waktu 53 menit untuk pergi ke kantor. pagi ini ia membutuhkan waktu 1 jam 15 menit. jadi berapa tambahan waktu yang telah dipergunakannya?",0,"Breakout"
"tumbuhnya pusat-pusat keunggulan ekonomi berdampak pada bidang pekerjaan yaitu",0,"Breakout"
"lokasi utama yang memiliki keadaan lebih baik dari keadaan lainnya yang berkaitan dengan aktivitas untuk memenuhi kehidupan atau kesejahteraan masyarakat sering disebut",0,"Breakout"
"indonesia memiliki sumber daya alam yang sangat melimpah akan tetapi sumber daya alam tersebut belum bisa dipasarkan ke kancah internasional hal ini dikarenakan",0,"Breakout"
"perusahaan sawit dan tambang di ri 'dipaksa' jokowi bangun nursery",0,"Breakout"
"pusat keunggulan ekonomi di berbagai wilayah indonesia membawa dampak positif dan negatif dampak positif adanya pusat keunggulan ekonomi bagi daerah adalah",0,"400%"
"jelaskan 4 peranan perusahaan tambang minyak negara bagi perekonomian indonesia",1,"400%"
"bayan resources",1,"300%"
"mengapa banyak perusahaan tambang yang ada di indonesia",1,"200%"
"imip",3,"150%"
"perusahaan yang memproduksi berbagai obat obatan dan tambang minyak merupakan kelompok proses produksi ...",1,"140%"
"merdeka copper gold",1,"100%"
"pt pama",3,"90%"
"tambang nikel terbesar di indonesia",3,"90%"
"pengaruh pusat keunggulan terhadap pekerjaan adalah",1,"80%"
"perusahaan yang mengolah tambang batu bara merupakan salah satu jenis faktor produksi",2,"80%"
"pama",6,"80%"
"bumi resources",2,"80%"
"peranan perusahaan tambang minyak negara adalah",7,"80%"
"pt vale indonesia",2,"70%"
"perusahaan nikel terbesar di indonesia",3,"70%"
"perusahaan tambang nikel terbesar di indonesia",3,"70%"
"berikut ini yang merupakan peranan perusahaan tambang minyak negara adalah",6,"60%"
"bagaimana ekonomi kreatif dapat meningkatkan potensi daerah wisata?",0,"60%"
"proses obat obatan dan tambang minyak merupakan kelompok proses produksi ...",2,"60%"
"pt vale",3,"60%"
"manfaat perdagangan internasional dalam rangka meningkatkan kualitas dan kuantitas barang adalah",1,"60%"
"berikut ini yang merupakan peranan perusahaan tambang minyak negara adalah …..",1,"60%"
"pt kaltim prima coal",2,"60%"
"perusahaan yang memiliki kontrak karya pertambangan dengan kandungan emas dan tembaga terbesar di indonesia adalah",1,"60%"
"mengapa ekonomi kreatif penting dibangun di indonesia",1,"60%"
"strategi pemerintah melaksanakan pengembangan ekonomi kreatif adalah",1,"50%"
"perusahaan tambang minyak negara",22,"50%"
"kebijakan perdagangan yang dilakukan pemerintah dengan tujuan menurunkan biaya produksi dalam negeri agar mampu bersaing dengan produk luar negeri disebut",1,"50%"
"perbedaan utama antara keunggulan mutlak dan komparatif adalah",1,"50%"
"pt perusahaan tambang nusantara",3,"50%"
"perusahaan tambang nusantara",6,"40%"
"berikut ini yang merupakan peranan pt freeport indonesia adalah",3,"40%"
"perusahaan tambang nikel di indonesia",7,"40%"
