"query","search interest","increase percent"
"perusahaan tambang di indonesia",100,"2%"
"tambang batu bara",27,"20%"
"perusahaan terbesar di indonesia",27,"20%"
"tambang terbesar di indonesia",27,"20%"
"perusahaan tambang terbesar di indonesia",27,"20%"
"perusahaan pertambangan",26,"-5%"
"perusahaan tambang minyak negara",22,"50%"
"perusahaan tambang nikel",21,"20%"
"daftar perusahaan tambang",20,"-30%"
"perusahaan tambang di kalimantan",20,"-1%"
"freeport",17,"4%"
"pt freeport",12,"3%"
"pt freeport indonesia",11,"20%"
"lowongan perusahaan tambang",10,"-50%"
"pertamina",9,"30%"
"perusahaan tambang bumn",8,"-10%"
"aneka tambang",7,"-30%"
"peranan perusahaan tambang minyak negara adalah",7,"80%"
"adaro",7,"0%"
"perusahaan tambang nikel di indonesia",7,"40%"
"perusahaan nikel di indonesia",7,"40%"
"perusahaan tambang nusantara",6,"40%"
"daftar perusahaan tambang di indonesia",6,"-40%"
"berikut ini yang merupakan peranan perusahaan tambang minyak negara adalah",6,"60%"
"perusahaan tambang terbesar di dunia",6,"-8%"
"pama",6,"80%"
"pt aneka tambang",5,"-30%"
"bei",4,"2%"
"tambang emas terbesar di indonesia",4,"-10%"
"antam",4,"-30%"
"bukit asam",4,"-20%"
"perusahaan tambang emas terbesar di indonesia",4,"-10%"
"pt adaro",4,"10%"
"pt perusahaan tambang nusantara",3,"50%"
"tambang batu bara merupakan faktor produksi",3,"30%"
"buma",3,"40%"
"imip",3,"150%"
"kaltim prima coal",3,"30%"
"pt vale",3,"60%"
"proses obat obatan dan tambang minyak merupakan kelompok proses produksi",3,"30%"
"vale indonesia",3,"40%"
"pt bukit asam",3,"-20%"
"produksi massal termasuk pada proses produksi",3,"7%"
"pt pama",3,"90%"
"pt antam",3,"-30%"
"berikut ini yang merupakan peranan pt freeport indonesia adalah",3,"40%"
"tambang nikel terbesar di indonesia",3,"90%"
"perusahaan nikel terbesar di indonesia",3,"70%"
"perusahaan tambang nikel terbesar di indonesia",3,"70%"
"adaro energy",2,"10%"
