"query","search interest","increase percent"
"public cloud",100,"-9%"
"cloud server",73,"-10%"
"private cloud server",73,"-10%"
"google cloud",72,"100%"
"cloud adalah",71,"10%"
"virtual private cloud",66,"10%"
"cloud computing",65,"-4%"
"private cloud computing",65,"-3%"
"what is private cloud",57,"250%"
"private cloud storage",43,"20%"
"hybrid cloud",43,"-10%"
"cloud storage",43,"20%"
"cloud hosting",36,"-30%"
"private cloud hosting",36,"-30%"
"virtual private server",35,"-10%"
"public private hybrid cloud",34,"-10%"
"what is a private cloud",33,"450%"
"public cloud private cloud hybrid cloud",32,"-20%"
"cloud public private hybrid",31,"-20%"
"private cloud services",31,"110%"
"aws",30,"90%"
"aws private cloud",30,"70%"
"cloud computing adalah",27,"30%"
"community cloud",16,"100%"
"private cloud vs public cloud",15,"-50%"
"public vs private cloud",14,"-50%"
"public cloud vs private cloud",14,"-50%"
"cloud hosting adalah",14,"40%"
"vps",12,"-30%"
"private ip address",11,"110%"
"azure",11,"3%"
"private cloud example",10,"500%"
"private google access",10,"180%"
"cloud architecture",10,"60%"
"virtual private cloud aws",10,"100%"
"private cloud solutions",8,"-20%"
"tuliskan dan jelaskan perbedaan antara cloud hosting dan virtual private server",8,"8%"
"managed private cloud",7,"-50%"
"what is cloud computing",7,"140%"
"alibaba cloud",6,"10%"
"private cloud providers",6,"-30%"
"private cloud vmware",5,"-50%"
"cloud computing services",5,"Breakout"
"proxmox",4,"110%"
"openstack",3,"-70%"
"mi cloud",3,"10%"
"google cloud console",3,"Breakout"
"public ip address",3,"Breakout"
"amazon web services is",3,"Breakout"
"dropbox",3,"-40%"
