"query","search interest","increase percent"
"the",100,"50%"
"what",54,"110%"
"production management adalah",41,"-20%"
"production adalah",40,"-20%"
"production management system",35,"10%"
"quality management",26,"10%"
"operations management",26,"-9%"
"product management",24,"10%"
"supply chain management",22,"40%"
"production planning",22,"-20%"
"engineering",21,"80%"
"production and operations management",21,"-6%"
"operations and production management",20,"-7%"
"inventory management",20,"-20%"
"project management",20,"20%"
"waste management",18,"150%"
"production management software",15,"-40%"
"production manager",14,"8%"
"operation management",10,"-60%"
"production management training",10,"110%"
"change management",10,"140%"
"management trainee",9,"-20%"
"production management app",9,"400%"
"strategic management",8,"80%"
"lean production",8,"-30%"
"production house",7,"-30%"
"legal",7,"Breakout"
"production asset management",7,"70%"
"journal of operations management",6,"40%"
"quality management system",6,"40%"
"supply chain management adalah",6,"200%"
"business development",5,"60%"
"supply chain adalah",5,"20%"
"production engineering adalah",5,"160%"
"journal of cleaner production",4,"90%"
"human resource management",4,"10%"
"human capital",4,"250%"
"total quality management",3,"-40%"
"international journal of operations and production management",3,"30%"
"scopus",3,"100%"
"sinta",3,"Breakout"
"international journal of operations & production management",2,"10%"
"journal of environmental management",2,"Breakout"
"production management certification",2,"40%"
"community development",2,"Breakout"
"production planning and inventory control",2,"20%"
"international journal of production economics",2,"100%"
"toyota production system",2,"-30%"
"performance management systems",2,"150%"
"inventory management systems",2,"Breakout"
