"query","search interest","increase percent"
"project management tools for construction",21,"Breakout"
"project management app for construction",14,"200%"
"construction project management tools",35,"180%"
"construction project management certification",15,"160%"
"project management tools",35,"120%"
"risk management in construction project",31,"110%"
"project management software in construction",24,"90%"
"international journal of project management",9,"60%"
"construction project management courses",16,"-10%"
"project management software for construction",40,"-10%"
"free construction project management software",9,"-10%"
"software for construction project management",37,"-20%"
"construction project management software",100,"-60%"
"project management software construction",98,"-60%"
