"query","search interest","increase percent"
"rumah sakit terbaik di indonesia",100,"20%"
"rumah sakit jakarta",87,"-20%"
"rumah sakit terbaik di jakarta",83,"-20%"
"rumah sakit terbaik di dunia",35,"10%"
"siloam",26,"10%"
"rumah sakit siloam",26,"10%"
"rumah sakit terbaik di surabaya",25,"-20%"
"rs terbaik di jakarta",21,"-10%"
"rumah sakit terbaik di medan",21,"0%"
"rumah sakit terbaik di bandung",19,"-20%"
"rumah sakit penang terbaik",16,"-20%"
"rumah sakit penang",16,"-20%"
"rumah sakit solo",16,"20%"
"rumah sakit terdekat",14,"40%"
"rs terbaik di indonesia",14,"10%"
"rumah sakit terbaik di penang",14,"-20%"
"rumah sakit hermina",13,"-7%"
"rumah sakit terbaik di malaysia",13,"-5%"
"rs siloam",11,"10%"
"rumah sakit terbaik di makassar",10,"2%"
"rumah sakit mitra keluarga",10,"20%"
"mitra keluarga",10,"20%"
"rumah sakit terbaik di singapura",6,"-20%"
"siloam hospital",6,"60%"
"asuransi kesehatan terbaik",6,"6%"
"rumah sakit terbaik di penang malaysia",5,"-1%"
"rumah sakit terbaik di kuala lumpur",4,"-30%"
"selain membantu pelayanan di rumah sakit semakin nyaman dan efisien, iptek juga menimbulkan dampak negatif dalam bidang kedokteran, yakni",3,"Breakout"
"sikap untuk memiliki dan menentukan alternatif yang terbaik bagi kehidupan diri, lingkungan masyarakat, bangsa, dan negara melalui proses yang berhati-hati, rasional, dan normatif terhadap segala macam pengaruh dari luar sehingga apa yang telah menjadi pilihan dapat diterima oleh semua pihak dengan penuh tanggung jawab disebut",3,"Breakout"
"selain membantu pelayanan di rumah sakit semakin nyaman dan efisien, iptek juga menimbulkan dampak negatif dalam bidang kedokteran, yakni ....",3,"Breakout"
"pengaruh negatif iptek dalam bidang pertanian adalah",2,"650%"
"berikut ini yang merupakan pengaruh positif kemajuan iptek di bidang ekonomi adalah",2,"Breakout"
"yang dimaksud iptek bersifat netral adalah",2,"Breakout"
"haii",2,"Breakout"
"undang-undang nomor 11 tahun 2008 berisi tentang",2,"Breakout"
"berikut ini yang merupakan pengaruh negatif kemajuan iptek dibidang pendidikan adalah",2,"Breakout"
"indonesia kaya akan tempat pariwisatanya. oleh karena itu, salah satu bentuk iptek yang paling sesuai yang perlu dikembangkan untuk menunjang sektor tersebut ialah",1,"Breakout"
"sikap selektif dalam dalam penggunaan teknologi berdasarkan sila pertama dari pancasila mengajak kita untuk",1,"Breakout"
"ancaman yang dapat muncul dari perkembangan iptek di bidang informasi dan komunikasi terhadap pertahanan negara adalah",1,"Breakout"
"setiap orang berhak mengembangkan diri melalui pemenuhan kebutuhan dasarnya, berhak mendapat pendidikan dan memperoleh manfaat dari ilmu pengetahuan dan teknologi, seni dan budaya, demi meningkatkan kualitas hidupnya dan demi kesejahteraan umat manusia. merupakan isi dari uud nri tahun 1945 pasal ....",1,"Breakout"
"masuknya informasi dari luar negeri ke indonesia secara mudah disebabkan oleh adanya",1,"Breakout"
