"query","search interest","increase percent"
"eastern shipping company",4,"Breakout"
"ocean network express",1,"Breakout"
"hapag-lloyd",1,"Breakout"
"bw shipping company",1,"Breakout"
"openai news today",1,"Breakout"
"mediterranean shipping company s.a",1,"Breakout"
"one tracking",1,"Breakout"
"linkedin",8,"600%"
"ups",5,"300%"
"one shipping",20,"250%"
"american shipping company",6,"250%"
"one shipping company",20,"190%"
"best shipping company",39,"190%"
"largest shipping company",6,"170%"
"dhl indonesia",3,"140%"
"msc indonesia",8,"130%"
"global shipping company",21,"130%"
"tracking mediterranean shipping company",19,"120%"
"mediterranean shipping company tracking",18,"110%"
"hmm shipping company",2,"100%"
"makassar shipping company",2,"90%"
"express shipping company",13,"90%"
"fedex",7,"80%"
"msc mediterranean shipping company",22,"70%"
"shipping logistics company",19,"70%"
"mediterranean shipping company sa",6,"70%"
"german shipping company",2,"60%"
"msc",30,"60%"
"msc shipping company",30,"60%"
"msc shipping",30,"60%"
"mol shipping company",2,"60%"
"cosco",8,"60%"
"evergreen tracking",1,"60%"
"biggest shipping company",9,"50%"
"shipping company logo",7,"50%"
"cma cgm",5,"50%"
"dhl",8,"50%"
"international shipping company",34,"50%"
"overseas shipping company",3,"50%"
"shipping company adalah",35,"50%"
"mediterranean",85,"50%"
"shipping adalah",35,"40%"
"mediterranean shipping company",84,"40%"
"cosco shipping",8,"40%"
"freight shipping company",20,"30%"
"shipping artinya",11,"30%"
"fob shipping point",6,"30%"
"biggest shipping company in the world",2,"30%"
"cosco tracking",2,"30%"
"hapag",3,"30%"
