"query","search interest","increase percent"
"shipping company indonesia",100,"20%"
"indonesia shipping company",99,"20%"
"mediterranean",85,"50%"
"mediterranean shipping company",84,"40%"
"best shipping company",39,"190%"
"shipping company adalah",35,"50%"
"shipping adalah",35,"40%"
"international shipping company",34,"50%"
"shipping line",31,"-20%"
"shipping line company",31,"-20%"
"msc",30,"60%"
"msc shipping",30,"60%"
"msc shipping company",30,"60%"
"msc mediterranean shipping company",22,"70%"
"global shipping company",21,"130%"
"freight shipping company",20,"30%"
"one shipping company",20,"190%"
"one shipping",20,"250%"
"shipping logistics company",19,"70%"
"tracking mediterranean shipping company",19,"120%"
"mediterranean shipping company tracking",18,"110%"
"marine shipping company",16,"-40%"
"cargo shipping company",13,"5%"
"maersk shipping company",13,"-6%"
"maersk",13,"-10%"
"express shipping company",13,"90%"
"shipping artinya",11,"30%"
"malaysia shipping company",10,"-20%"
"biggest shipping company",9,"50%"
"msc indonesia",8,"130%"
"dhl",8,"50%"
"cosco shipping",8,"40%"
"cosco",8,"60%"
"linkedin",8,"600%"
"dhl shipping company",8,"20%"
"evergreen",8,"30%"
"shipping company logo",7,"50%"
"fedex",7,"80%"
"american shipping company",6,"250%"
"largest shipping company",6,"170%"
"mediterranean shipping company sa",6,"70%"
"shipping company in singapore",6,"-30%"
"fob shipping point",6,"30%"
"maersk line shipping company",6,"-30%"
"maersk line",5,"-30%"
"forwarding company",5,"1%"
"cma cgm",5,"50%"
"forwarder company",5,"-5%"
"ups",5,"300%"
"samudera indonesia",4,"-30%"
