"query","search interest","increase percent"
"sebutkan lima perusahaan aplikasi terkenal",1,"Breakout"
"gratyo perusahaan apa",0,"Breakout"
"software gratyo",0,"Breakout"
"gratyo bisnis konsultan",0,"Breakout"
"buku coach yohanes g pauly",0,"Breakout"
"interview gratyo indonesia",0,"Breakout"
"biografi yohanes g. pauly",0,"Breakout"
"software yang dikembangkan oleh sebuah perusahaan yang bertujuan untuk bisnis atau menyewakan software tersebut adalah",0,"Breakout"
"yohanes g. pauly profil",0,"Breakout"
"software engineer",5,"250%"
"software developer",4,"100%"
"microsoft office tergolong salah satu software yang diproduksi oleh perusahaan yang bernama microsoft dan didirikan oleh bill gates. pada tahun berapakah microsoft office pertama kali diperkenalkan…",1,"80%"
"prototyping software adalah",1,"70%"
"pada software myob ada 2 menu utama yang digunakan sebagai pokok pengoperasian yaitu…",1,"60%"
"ada 2 menu utama pada software myob yang digunakan sebagai pokok pengoperasian yaitu…",1,"60%"
"perangkat keras pada komputer",5,"60%"
"hardware adalah",10,"50%"
"perangkat lunak pada komputer",7,"50%"
"opera dikembangkan oleh perusahaan opera software yang berlokasi di",1,"50%"
"sebuah perusahaan software database asal amerika serikat tts",2,"40%"
"berikut",33,"30%"
"hardware",13,"30%"
"apa itu software",8,"20%"
"dengan",68,"20%"
"sistem operasi adalah",10,"20%"
"software adalah",81,"20%"
"perusahaan software database asal amerika",2,"10%"
"untuk",83,"10%"
"web browser adalah",3,"10%"
"menu untuk membuat data perusahaan baru adalah",3,"10%"
"jelaskan yang dimaksud software pada komputer",1,"10%"
"perangkat lunak pengolah kata",2,"10%"
"dalam melakukan upaya pencegahan agar perangkat lunak dapat terlindungi hak ciptanya dari pembajakan, maka perusahaan pembuat perangkat lunak melengkapi produknya dengan kode tertentu yang biasa disebut",1,"10%"
"contoh software",24,"9%"
"yang",100,"9%"
"software keuangan perusahaan",11,"6%"
"jelaskan",11,"4%"
"yang bukan software akuntansi adalah",3,"3%"
"myob singkatan dari",1,"-2%"
"pada software myob ada 2 menu utama yang digunakan sebagai pokok pengoperasian yaitu",2,"-4%"
"ada 2 menu utama pada software myob yang digunakan sebagai pokok pengoperasian yaitu",2,"-4%"
"jenis file e-book yang merupakan standar keluaran perusahaan adobe dan sering digunakan sebagai media pembelajaran karena kelebihannya, yaitu mudah pembacaan dan kecil ukuran file-nya dibandingkan dokumen keluaran microsoft word adalah....",0,"-6%"
"software erp",4,"-7%"
"software house",3,"-8%"
"sap",2,"-9%"
"perusahaan pembuat software",5,"-10%"
"jenis file e-book yang merupakan standar keluaran perusahaan adobe dan sering digunakan sebagai media pembelajaran karena kelebihannya, yaitu mudah pembacaan dan kecil ukuran file-nya dibandingkan dokumen keluaran microsoft word adalah",1,"-20%"
"software akuntansi",16,"-20%"
"kepanjangan dari myob adalah",1,"-20%"
"myob",11,"-30%"
