"query","search interest","increase percent"
"virtual account seabank",3,"Breakout"
"cara bayar virtual account di bsi mobile",0,"Breakout"
"bayar virtual account mandiri livin",5,"Breakout"
"cara bayar virtual account livin mandiri",4,"Breakout"
"cara bayar virtual account mandiri livin",4,"Breakout"
"cara virtual account mandiri livin",8,"4,950%"
"virtual account mandiri livin",13,"4,900%"
"cara bayar mandiri virtual account lewat livin",1,"4,700%"
"mandiri virtual account livin",13,"4,650%"
"virtual account livin mandiri",13,"4,550%"
"bayar virtual account bsi",3,"2,200%"
"transfer virtual account mandiri livin",3,"2,100%"
"no virtual account dana mandiri",0,"2,050%"
"cara transfer virtual account livin mandiri",2,"2,000%"
"cara transfer virtual account mandiri livin",2,"1,850%"
"cara bayar virtual account bsi",2,"1,600%"
"virtual account bsi",11,"1,600%"
"bsi virtual account",11,"1,500%"
"cara bayar virtual account brimo",1,"1,250%"
"nomor virtual account shopeepay bca",1,"1,100%"
"transfer virtual account bsi",3,"1,000%"
"cara transfer virtual account bsi",2,"900%"
"kode dana bca",6,"850%"
"kode dana bca virtual account",6,"800%"
"kode bca virtual account dana",6,"800%"
"cara pembayaran virtual account bsi",1,"800%"
"kode virtual account dana bca",5,"800%"
"kode dana virtual account bca",5,"750%"
"dana virtual account bca",29,"750%"
"virtual account bri ke dana",2,"750%"
"virtual account dana bca",28,"750%"
"virtual account bca dana",27,"750%"
"bca virtual account dana",27,"700%"
"no virtual account dana",5,"700%"
"dana bca virtual account",27,"700%"
"nomor virtual account shopeepay",2,"700%"
"cara tf bca ke dana",1,"700%"
"kode virtual account bca ke dana",2,"650%"
"nomor virtual account dana bca",3,"650%"
"cara melihat no virtual account dana",0,"600%"
"virtual account bca ke gopay",2,"600%"
"virtual account dana bri",4,"600%"
"nomor virtual account dana mandiri",1,"600%"
"dana virtual account",65,"600%"
"no virtual account dana bca",2,"600%"
"virtual account dana",70,"600%"
"virtual account bca ke dana",8,"550%"
"nomor virtual account dana",9,"550%"
"kode virtual account dana bri",1,"500%"
"dana",68,"500%"
