"query","search interest","increase percent"
"bca virtual account",100,"20%"
"virtual account bca",99,"20%"
"virtual account dana",70,"600%"
"dana",68,"500%"
"dana virtual account",65,"600%"
"mandiri virtual account",53,"-9%"
"virtual account mandiri",51,"-9%"
"bri virtual account",31,"10%"
"bri",30,"10%"
"virtual account bri",29,"-2%"
"dana virtual account bca",29,"750%"
"virtual account dana bca",28,"750%"
"virtual account bca dana",27,"750%"
"cara virtual account bca",27,"-20%"
"bca virtual account dana",27,"700%"
"cara virtual account mandiri",27,"-20%"
"dana bca virtual account",27,"700%"
"virtual account bni",27,"-30%"
"nomor virtual account",26,"40%"
"bni virtual account",25,"-30%"
"pembayaran virtual account",19,"-40%"
"virtual account gopay",17,"190%"
"gopay virtual account",17,"190%"
"bayar virtual account mandiri",17,"4%"
"transfer virtual account bca",16,"-30%"
"kode virtual account bca",16,"100%"
"kode bca virtual account",16,"70%"
"virtual account livin mandiri",13,"4,550%"
"virtual account mandiri livin",13,"4,900%"
"mandiri virtual account livin",13,"4,650%"
"cara bayar mandiri virtual account",13,"10%"
"virtual account shopeepay",13,"400%"
"no virtual account",13,"30%"
"virtual account shopee",13,"130%"
"cara bayar virtual account mandiri",13,"20%"
"ovo virtual account",13,"-20%"
"cara virtual account bri",13,"-20%"
"virtual account ovo",13,"-20%"
"kode virtual dana",12,"450%"
"bayar virtual account bca",12,"-6%"
"kode virtual account dana",12,"450%"
"transfer virtual account mandiri",12,"-40%"
"kode dana",11,"400%"
"virtual account bsi",11,"1,600%"
"bsi virtual account",11,"1,500%"
"cara transfer virtual account bca",10,"-30%"
"nomor virtual account dana",9,"550%"
"bca virtual account gopay",9,"190%"
"cara transfer mandiri virtual account",9,"-40%"
"gopay bca virtual account",9,"190%"
